Description,TotalSalesDollars,ProfitMargin
Aquitania Cab Svgn,2526.42,7.556938276
Arabella Chard,131.88,33.75796178
Arca Nova Rose,263.76,31.02820746
Archetype Shiraz/Cab Barossa,142.89,26.76884317
Ardbeg Auriverdes Scotch,3959.58,82.65220049
Ardbeg Dark Cove Com Release,7259.34,21.98299019
Aresti Pnt Nr Curico Vly,94.81,96.54044932
Argentiera Poggio Ginerpi Bo,227.88,32.43812533
Argiano Non Confunditur Rsso,263.88,35.47066849
Argiola Costera Isola dei N,149.85,45.94594595
Argiolas SerraLori Rose 13,503.4,33.77830751
Arindo Verdejo Rueda,708.37,63.71387834
Armand Kabinett Rsl,577.7,46.40817033
Armand de Brignac Brut Rose,9239.78,51.83608268
Armorik Single Malt Whiskey,1199.8,96.2402067
Arnaldo Caprai Grecante Grec,1614.15,4.618529876
Arrogant Frog Chardonnay,239.76,67.51751752
Arrogant Frog Pnt Nr,2607.39,35.38596067
Arrow Apricot Brandy,575.28,24.28035044
Arrow Blackraspberry Liqueur,383.52,20.65081352
Arrow Blue Curacao,4554.3,23.70550908
Arrow Creme de Strawberry,3835.2,34.8537234
Arrowood Cab Svgn Sonoma Vly,8667.01,30.57594257
Arrowood Sonoma Est Cab Svgn,1766.96,26.60388464
Art of Eart Montepulciano d',2160.89,61.29650283
Artesa Elements Napa Red,744.33,2.899251676
Asamai Shuzo Heavens Door,119.96,1.317105702
Aska Bolgheri Rosso,434.85,28.87662412
Assyrtiko-Athiri Atlantis,191.88,33.77110694
Astraly Touraine Nobel Rose,89.94,31.02068045
Aszu Royal Tokaji 5 Puttony,9098.05,19.63519655
Atalon Cab Svgn Napa,1589.47,55.90228189
Atalon Pauline's Cuvee Red N,2358.82,90.58045972
Atalon Svgn Bl Napa Valley,2118.94,63.47230219
Atamisque Assemblage,5344.38,27.63426253
Atholl Brose Scotch Liqueur,329.94,27.5322786
Atlas Peak Cab Svgn,559.84,60.8030866
Attitude 13 Rose Jolivet,2350.32,88.79641921
Au Bon Climate Pnt Nr,2155.02,22.7700903
Auchentoshan Classic Scotch,359.88,94.40091141
Austin Cocktails Vodkarita,2353.43,91.5412823
Avante Tinto Fino Ribera Del,892.53,32.43812533
Aveleda Follies,3429.36,90.13810157
Aviary Chard,215.88,42.30127849
Aviary Red Blend,5894.72,16.06251018
Avion Espresso,202.93,39.97930321
Avion Tasting Flight 3/375mL,9852.96,46.84927169
Ayala Brut Majeur,8117.15,24.95654263
Ayala Rose Majeur,2607.56,60.66437589
B & B Dom VAP,1319.48,97.25497923
B & G CDP Rose,2572.73,14.26072693
B & G Cotes du Rhone Red,155.88,49.03772132
B & G Pnt Nr Bistro,6114.81,34.73877357
B & G Sancerre Svgn Bl,243.91,15.32942479
B & G Sauternes,6997.14,34.17081836
B Side Cab Svgn,887.63,1.580613544
B Side Napa Vly Red,1259.46,46.73907865
BR Cohn Olive Hill Cab Svgn,99.98,33.32666533
BV Beaurouge Red,6880.41,84.39366259
BV Coastal Estate Moscato,164.85,57.77979982
BV Coastal Estate Red,450.59,1.569053907
BV Coastal Estate Svgn Bl,560.35,52.7795128
BV GDL Private Rsv Cab Svgn,4799.6,28.60405034
Bacardi 1873 Solera Rum,2353.43,89.381456
Bacardi 8 Gift Set,869.65,91.78980049
Bacardi Anejo Mexican Rum,2476.23,59.05711505
Bacardi Artic Grape Rum,195.86,51.04666599
Bacardi Coconut,5752.89,97.84282335
Bacardi Dragon Berry,3203.64,94.76345657
Bacardi Dragon Berry Trav,709.29,87.92031468
Bacardi Limon Traveler,409.59,96.44034278
Bacardi O Orange Rum,2294.35,23.80619417
Bacardi Oakheart Spiced Trav,399.6,98.13313313
Bacardi Party Drinks Hurricn,159.9,33.35834897
Bacardi Party Drinks Rum Run,303.81,4.315196998
Bacardi Peach Red Rum,287.76,39.61634696
Bacardi Reserva Limitada,2879.68,95.30086676
Badenhorst Secateurs Chen Bl,6785.28,32.84256508
Badenhorst Secateurs Red,4045.17,16.49498043
Bak's Krupnik Honey Liqueur,704.53,36.6726754
Bakon Vodka,2049.18,43.777511
Balcones Baby Blue Corn Whis,275.94,22.48314851
Balcones TX Whisky Single Ba,389.94,23.08047392
Balletto 15 Rose Pnt Nr RRV,9956.14,15.81827897
Balvenie 15 Yr Single Malt,899.9,57.14190466
Banfi Centine Bianco Toscana,4649.83,39.38423555
Banfi Grappa Castello,1984.48,35.06812868
Banfi Pnt Grigio Rime,7485.78,35.14102739
Banfi Poggio All'Oro Br Mont,3755.75,55.34314052
Banfi Poggio Alle Mura Montl,9308.6,28.80153836
Banfi Poggio Alle Mura Rsva,1876.82,72.32339809
Banfi Summus Tuscany Red,2902.52,83.68176619
Banknote Counterfeit,579.71,38.46578462
Banshee 12 Marine Layer Pnt,1221.74,39.6729255
Banshee Cab Svgn Napa Vly,6997.94,60.37548193
Banshee Chard,670.64,82.15137779
Banshee Mordecai Proprietary,4977.51,30.78266041
Banshee Rose 14 Pnt Nr Sonom,203.88,34.66745144
Barbarossa Spiced Rum,945.14,98.22460165
Barbera d'Alba Alessandria,5085.53,45.47706925
Barboursville Rsv Cab Franc,143.94,33.76406836
Barco de Piedra Temp Red,407.76,35.49146557
Barcraft Watermelon Fresca V,6294.75,84.72504865
Barefoot Bubbly Berry Fusion,109.89,33.33333333
Barefoot Bubbly Tropical Fus,459.54,16.16181399
Barefoot Cellars Cab Svgn,2329.91,27.80407827
Barefoot Cellars Malbec,6333.43,23.20430142
Barefoot Cellars Moscato,1979.45,29.78201015
Barefoot Cellars Rich Red,298.74,12.36526746
Barefoot Cellars Rosa Red,406.58,76.09326578
Barefoot Cellars Sweet Red,1495.77,24.71364271
Barefoot Cellars Winter Red,6105.9,32.65415418
Barefoot Crisp White Spritz,271.66,4.586615622
Barefoot Perfectly Pink,1145.57,30.18148171
Barefoot Refresh Crisp Red,546.08,45.88704952
Barefoot Summer Red Spritzer,367.54,16.25401317
Barefoot Syrah Cal,7928.18,36.15411491
Barefoot Znfdl Cal,613.18,22.83855068
Barenjager Honey & Bourbon,9154.68,63.66142782
Barkan Clsc Cab Svgn,9121.48,34.26593053
Barkan Clsc Chard,1189.15,33.03115671
Barkan Clsc Merlot,6015.7,31.17209967
Baron K Kabinett,911.52,52.77777778
Baron La Rose Bordeaux Blanc,1988.11,80.15703356
Baron de Seillac Brut Rose,311.76,31.02386451
Barra Petite Sirah,160.93,33.31883428
Barrique Chard,1036.39,10.03386756
Barsol Primero Quebranta Pso,1457.32,27.11552713
Bartenura Asti Spumante,2631.15,37.89407673
Bartenura Ovidia Est Chianti,2056.53,52.00070021
Barton Gin,6347.22,25.68872672
Basilica Amaretto,47.45,85.07903056
Basilica Sambuca,7490.9,65.75885408
Batavia Arrack Rum,31.99,28.07127227
Be. Bright Pnt Grigio,1042.26,74.43056435
Beat 3 Single Malt Whiskey,36.99,23.38469857
Beat 3 White Kosher Whiskey,2426.17,15.95889818
Beaucanon Merlot Napa,80.97,54.64987032
Beaulieu Cstl Clr Slct Chard,174.75,4.618025751
Beaux Freres Pnt Nr Will Vly,6898.85,79.26784899
Beaux Freres Vyds Pnt Nr,5669.37,93.7347536
Becker Family Pnt Bl,395.78,64.70766587
Belguardo Serrata Toscana,2957.04,90.86924763
Bella Bolla Moscato,187.25,8.411214953
Bella Bolla Pink Moscato,456.89,50.31407998
Bella Bolla Red Moscato,89.88,33.77837116
Bella Bolle Fusione Red,98.89,27.79856406
Bella Italia Pnt Grigio Ter,455.52,41.93888303
Bella Sera Pnt Nr Venezie,155.76,30.97072419
Bellafina Prosecco,1686.47,47.07169413
Belle Ambiance Chard,352.66,18.56178756
Ben Marco Cab Svgn,4284.53,38.41284808
Ben Marco Malbec,8271.76,38.93838796
Bench Pnt Nr,1363.38,25.06271179
Benchmark Egg Nog,6931.98,29.59067972
Beniotome Sesame Shochu,4768.41,99.53422629
Benton Lane Pnt Gris Willamt,3853.59,21.41286375
Benvolio Pnt Grigio Friuli,4306.05,89.34708143
Benvolio Toscana Rosso,649.5,35.11316397
Benziger Pnt Nr Sonoma,2158.92,34.21710855
Beran Znfdl Sonoma Cty,2519.16,21.95255561
Berentzen Apple Liqueur,9077.41,81.50639885
Berentzen Bushel & Barrel,1333.58,84.82036799
Beringer Classic Wh Zin Spkl,6043.04,30.58609574
Beringer Fndrs Est Svgn Bl,7779.65,48.73818231
Beringer KVR Cab Svgn,7898.42,29.77228357
Beringer Luminus Chard,9945.25,27.14190191
Berkshire Mtn Ethereal Gin,1832.41,86.36113097
Bertani Amarone 04,5984.37,92.64133067
Bertani Amarone 1993,2039.88,83.33284311
Bertani Amarone Valpolicell,8799.12,56.549064
Bertani Secco 11 Orig V Ed,1524.39,87.64620602
Bertani Villa Arvedi Amarone,5998.14,46.80530905
Bex Rsl Mosel,5667.11,47.51610609
Beyond Svgn Bl,195.45,40.90560246
Big Claw White,194.85,35.0269438
Big House Birdman Pnt Grigio,8567.64,27.4896004
Big House White,6171.21,49.06166966
Big Peat Scotch,8139.63,47.77109033
Bigi Orvieto Clsc Vendemmia,419.65,32.31502443
